computer,datetime,exp,cbal,participant,trial,trial_type,img,trial_duration,audio_path,audio_file,word,error,word_onset,word_duration
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,17,fill,fimg31.jpg,1.245087672,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_017.wav,wc32v.3_11_017.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,18,fill,fimg14.jpg,0.985627826,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_018.wav,wc32v.3_11_018.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,19,ctrl,ctrl17.jpg,0.855456587,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_019.wav,wc32v.3_11_019.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,20,trgt,trgt17.jpg,0.984426413,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_020.wav,wc32v.3_11_020.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,21,fill,fimg07.jpg,0.856017018,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_021.wav,wc32v.3_11_021.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,22,fill,fimg23.jpg,0.856288837,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_022.wav,wc32v.3_11_022.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,23,intf,prim33.jpg,0.853993618,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_023.wav,wc32v.3_11_023.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,24,trgt,trgt33.jpg,0.856334244,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_024.wav,wc32v.3_11_024.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,25,fill,ftxt21.jpg,0.855399673,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_025.wav,wc32v.3_11_025.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,26,ctrl,ctrl29.jpg,0.855335917,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_026.wav,wc32v.3_11_026.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,27,trgt,trgt29.jpg,0.986154358,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_027.wav,wc32v.3_11_027.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,28,fill,fimg21.jpg,0.854835198,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_028.wav,wc32v.3_11_028.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,29,fill,fimg18.jpg,0.854571155,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_029.wav,wc32v.3_11_029.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,30,fill,ftxt38.jpg,0.854391705,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_030.wav,wc32v.3_11_030.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,31,intf,prim18.jpg,0.853841537,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_031.wav,wc32v.3_11_031.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,32,trgt,trgt18.jpg,0.855643812,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_032.wav,wc32v.3_11_032.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,33,fill,ftxt24.jpg,0.85592776,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_033.wav,wc32v.3_11_033.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,34,ctrl,ctrl04.jpg,0.85451704,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_034.wav,wc32v.3_11_034.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,35,trgt,trgt04.jpg,0.985830913,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_035.wav,wc32v.3_11_035.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,36,fill,ftxt05.jpg,0.984737107,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_036.wav,wc32v.3_11_036.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,37,fill,ftxt35.jpg,0.844897337,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_037.wav,wc32v.3_11_037.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,38,fill,ftxt10.jpg,0.855526252,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_038.wav,wc32v.3_11_038.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,39,intf,prim22.jpg,0.856165679,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_039.wav,wc32v.3_11_039.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,40,trgt,trgt22.jpg,0.986061057,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_040.wav,wc32v.3_11_040.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,41,fill,fimg39.jpg,0.855505726,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_041.wav,wc32v.3_11_041.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,42,fill,ftxt18.jpg,0.855918119,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_042.wav,wc32v.3_11_042.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,43,fill,ftxt26.jpg,0.855054146,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_043.wav,wc32v.3_11_043.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,44,ctrl,ctrl20.jpg,0.855305749,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_044.wav,wc32v.3_11_044.wav,,,,
